Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Mother's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Grade_Improvement,Approval_Rate_1st_Sem,Approval_Rate_2nd_Sem,Approval_Rate_Improvement,Total_Units_Approved,Average_Grade,Units_Without_Eval,Grade_Consistency,Parental_Education_Avg,Financial_Support_Score,Age_X_PrevQual,Admission_X_1stSemGrade
1,1,1,9254,1,1,120.0,1,1,9,118.3,0,0,0,1,1,0,20,0,0,6,8,6,12.857142857142858,0,0,6,9,5,12.4,0,8.9,1.4,3.51,-0.4571428571428573,1.0,0.8333333333333334,-0.16666666666666663,11,12.62857142857143,0,0.4571428571428573,1.0,1,2400.0,1521.0
4,39,1,8014,0,1,133.1,1,37,7,143.0,0,0,0,1,1,0,37,0,3,9,13,8,12.0,0,2,7,8,7,11.571428571428571,0,12.7,3.7,-1.7,-0.4285714285714288,0.8888888888888888,1.0,0.11111111111111116,15,11.785714285714285,0,0.4285714285714288,37.0,1,4924.7,1716.0
1,1,1,9238,1,1,145.0,1,19,6,127.9,1,0,0,1,0,0,19,0,0,6,7,6,13.714285714285714,0,0,6,6,6,13.166666666666666,0,12.7,3.7,-1.7,-0.5476190476190474,1.0,1.0,0.0,12,13.44047619047619,0,0.5476190476190474,10.0,1,2755.0,1754.057142857143
1,1,5,9773,1,1,138.0,1,19,9,139.4,1,0,0,1,0,0,18,0,0,6,7,5,12.8,0,0,6,10,4,12.2,0,10.8,1.4,1.74,-0.6000000000000014,0.8333333333333334,0.6666666666666666,-0.16666666666666674,9,12.5,0,0.6000000000000014,19.0,1,2484.0,1784.3200000000002
1,17,1,9773,1,1,150.0,1,38,7,137.8,1,0,0,1,0,1,18,0,0,6,6,6,15.0,0,0,6,6,6,15.5,0,8.9,1.4,3.51,0.5,1.0,1.0,0.0,12,15.25,0,0.5,38.0,2,2700.0,2067.0
1,43,3,171,1,1,140.0,1,37,7,143.4,1,0,0,1,0,0,21,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,0.0,0.0,0.0,0.0,0,0.0,0,0.0,37.5,1,2940.0,0.0
1,1,2,9147,1,1,133.0,1,19,5,121.8,0,0,0,1,1,0,20,0,0,5,9,4,10.2,0,0,5,6,3,11.0,0,15.5,2.8,-4.06,0.8000000000000007,0.8,0.6,-0.20000000000000007,7,10.6,0,0.8000000000000007,10.0,1,2660.0,1242.36
1,43,1,9254,1,1,112.0,1,37,9,108.5,0,0,0,1,1,0,21,0,0,6,6,6,12.666666666666666,0,0,6,7,5,11.4,0,9.4,-0.8,-3.12,-1.2666666666666657,1.0,0.8333333333333334,-0.16666666666666663,11,12.033333333333333,0,1.2666666666666657,37.0,1,2352.0,1374.3333333333333
1,1,4,9238,1,1,127.0,1,19,4,127.4,1,0,0,1,0,0,20,0,0,6,8,6,11.166666666666666,0,0,6,6,6,11.333333333333334,0,7.6,2.6,0.32,0.16666666666666785,1.0,1.0,0.0,12,11.25,0,0.16666666666666785,19.0,1,2540.0,1422.6333333333332
1,17,1,9238,1,1,135.0,1,37,8,127.0,0,0,0,1,0,0,21,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,0.0,0.0,0.0,0.0,0,0.0,0,0.0,37.0,1,2835.0,0.0
1,39,1,9500,1,1,130.0,1,38,9,140.0,1,0,0,1,0,0,24,0,0,8,8,7,14.985714285714286,0,0,8,8,7,14.985714285714286,0,12.7,3.7,-1.7,0.0,0.875,0.875,0.0,14,14.985714285714286,0,0.0,19.5,1,3120.0,2098.0
1,1,3,9500,1,1,139.0,1,19,9,135.0,1,0,0,1,0,1,18,0,0,8,8,7,12.214285714285714,0,0,8,8,7,12.214285714285714,0,12.7,3.7,-1.7,0.0,0.875,0.875,0.0,14,12.214285714285714,0,0.0,10.0,2,2502.0,1648.9285714285713
1,17,1,9119,1,1,130.0,1,1,4,123.0,0,0,0,1,1,0,18,0,0,5,10,1,10.0,0,0,5,7,0,0.0,0,9.4,-0.8,-3.12,-10.0,0.2,0.0,-0.2,1,5.0,0,10.0,2.0,1,2340.0,1230.0
1,1,2,9670,1,1,117.0,1,37,9,111.8,0,0,0,1,0,0,22,0,0,5,8,3,12.0,0,0,5,9,2,11.0,1,7.6,2.6,0.32,-1.0,0.6,0.4,-0.19999999999999996,5,11.5,1,1.0,37.0,1,2574.0,1341.6
1,1,1,9254,1,1,131.0,2,37,9,126.1,1,0,0,1,1,0,18,1,0,6,6,6,13.666666666666666,0,0,6,6,6,13.5,0,7.6,2.6,0.32,-0.16666666666666607,1.0,1.0,0.0,12,13.583333333333332,0,0.16666666666666607,19.0,1,2358.0,1723.3666666666666
1,1,1,171,1,1,159.0,1,3,2,162.5,1,0,0,1,1,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,0.0,0.0,0.0,0.0,0,0.0,0,0.0,3.0,1,3021.0,0.0
1,1,1,9670,1,1,143.0,1,3,2,144.1,1,0,0,1,0,0,19,0,0,6,7,5,12.6,0,0,6,10,5,12.375,0,10.8,1.4,1.74,-0.22499999999999964,0.8333333333333334,0.8333333333333334,0.0,10,12.4875,0,0.22499999999999964,20.5,1,2717.0,1815.6599999999999
1,39,1,9853,1,1,130.0,1,37,9,102.5,0,0,0,1,0,0,27,0,0,6,9,5,13.2,0,0,6,10,5,12.0,0,7.6,2.6,0.32,-1.1999999999999993,0.8333333333333334,0.8333333333333334,0.0,10,12.6,0,1.1999999999999993,28.0,1,3510.0,1353.0
1,43,1,9670,1,1,142.0,1,38,8,138.5,1,0,0,1,1,0,18,0,0,6,16,5,13.8,0,0,6,7,5,12.4,0,13.9,-0.3,0.79,-1.4000000000000004,0.8333333333333334,0.8333333333333334,0.0,10,13.100000000000001,0,1.4000000000000004,19.5,1,2556.0,1911.3000000000002
1,1,3,9070,1,1,128.0,1,19,3,129.8,1,0,0,1,0,0,20,0,0,6,6,6,11.833333333333334,0,0,6,6,3,13.333333333333334,0,9.4,-0.8,-3.12,1.5,1.0,0.5,-0.5,9,12.583333333333334,0,1.5,19.0,1,2560.0,1535.966666666667
1,18,1,9853,1,1,123.0,1,19,9,117.4,1,0,0,1,0,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,11.1,0.6,2.02,0.0,0.0,0.0,0.0,0,0.0,0,0.0,19.0,1,2337.0,0.0
1,17,1,9238,1,1,125.0,1,4,1,119.8,0,0,0,1,0,0,18,0,0,6,9,5,11.571428571428571,0,0,6,8,6,12.142857142857142,0,16.2,0.3,-0.92,0.5714285714285712,0.8333333333333334,1.0,0.16666666666666663,11,11.857142857142858,0,0.5714285714285712,3.5,1,2250.0,1386.2571428571428
1,18,1,9119,1,1,108.0,1,1,4,105.6,1,0,0,1,1,0,20,0,0,5,7,5,12.166666666666666,0,0,5,7,5,15.285714285714286,0,12.4,0.5,1.79,3.1190476190476204,1.0,1.0,0.0,10,13.726190476190476,0,3.1190476190476204,1.0,1,2160.0,1284.8
2,42,1,9147,1,1,133.1,1,37,9,115.8,0,0,0,0,1,0,49,0,0,5,5,0,0.0,0,0,5,9,0,0.0,0,10.8,1.4,1.74,0.0,0.0,0.0,0.0,0,0.0,0,0.0,37.0,0,6521.9,0.0
1,1,5,9500,1,1,137.0,1,38,4,126.5,1,0,0,1,0,0,18,0,0,8,8,8,13.76375,0,0,8,8,8,13.76375,0,9.4,-0.8,-3.12,0.0,1.0,1.0,0.0,16,13.76375,0,0.0,38.0,1,2466.0,1741.1143749999999
1,17,1,9238,1,1,131.0,1,1,4,129.3,0,0,0,1,0,0,19,0,4,8,8,8,13.875,0,1,6,8,5,14.0,0,11.1,0.6,2.02,0.125,1.0,0.8333333333333334,-0.16666666666666663,13,13.9375,0,0.125,1.0,1,2489.0,1794.0375000000001
1,1,1,9238,1,1,135.0,1,37,5,121.0,0,0,1,1,0,0,18,0,0,6,10,5,10.6,0,0,6,14,2,10.0,0,7.6,2.6,0.32,-0.5999999999999996,0.8333333333333334,0.3333333333333333,-0.5,7,10.3,0,0.5999999999999996,28.0,0,2430.0,1282.6
1,39,1,9003,1,19,133.1,1,1,9,120.0,0,0,1,0,1,0,27,0,0,6,11,2,11.5,0,0,6,7,0,0.0,0,8.9,1.4,3.51,-11.5,0.3333333333333333,0.0,-0.3333333333333333,2,5.75,0,11.5,10.0,-1,3593.7,1380.0
1,1,1,9773,1,1,108.0,1,34,0,105.9,0,0,0,1,1,0,20,0,0,6,11,4,10.75,0,0,6,13,2,10.0,0,7.6,2.6,0.32,-0.75,0.6666666666666666,0.3333333333333333,-0.3333333333333333,6,10.375,0,0.75,36.0,1,2160.0,1138.425
1,43,1,9085,1,1,170.0,1,19,5,170.0,1,0,0,1,0,0,19,0,0,5,5,0,0.0,5,0,5,7,4,14.75,1,12.7,3.7,-1.7,14.75,0.0,0.8,0.8,4,7.375,6,14.75,19.0,1,3230.0,0.0
2,39,1,9130,1,1,130.0,1,1,6,154.0,1,0,0,1,1,0,37,0,1,5,12,3,12.0,2,1,5,8,4,13.0,1,10.8,1.4,1.74,1.0,0.6,0.8,0.20000000000000007,7,12.5,3,1.0,10.0,1,4810.0,1848.0
1,1,4,9238,1,1,134.0,1,38,7,128.4,1,0,0,1,0,1,18,0,0,6,6,6,12.5,0,0,6,6,6,11.666666666666666,0,10.8,1.4,1.74,-0.8333333333333339,1.0,1.0,0.0,12,12.083333333333332,0,0.8333333333333339,28.5,2,2412.0,1605.0
1,18,1,9147,1,1,119.0,1,37,7,112.0,1,0,0,0,1,0,20,0,0,5,5,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,0.0,0.0,0.0,0.0,0,0.0,0,0.0,37.0,0,2380.0,0.0
1,17,3,9147,1,1,142.0,1,37,5,129.4,0,0,0,1,0,0,18,0,0,5,5,5,13.2,0,0,5,6,4,12.5,0,9.4,-0.8,-3.12,-0.6999999999999993,1.0,0.8,-0.19999999999999996,9,12.85,0,0.6999999999999993,37.5,1,2556.0,1708.08
1,39,1,9991,0,1,150.0,1,1,4,120.0,0,0,0,1,1,0,25,0,0,5,6,4,10.5,0,0,5,6,5,12.0,0,9.4,-0.8,-3.12,1.5,0.8,1.0,0.19999999999999996,9,11.25,0,1.5,19.0,1,3750.0,1260.0
1,17,1,9070,1,1,136.0,1,1,4,130.8,0,0,0,1,0,0,20,0,0,6,6,6,12.5,0,0,6,8,6,11.5,0,10.8,1.4,1.74,-1.0,1.0,1.0,0.0,12,12.0,0,1.0,19.0,1,2720.0,1635.0000000000002
1,39,1,8014,0,1,133.1,1,37,9,112.5,0,0,0,1,0,1,30,0,0,7,7,6,14.666666666666666,1,0,6,7,6,14.333333333333334,0,10.8,1.4,1.74,-0.33333333333333215,0.8571428571428571,1.0,0.1428571428571429,12,14.5,1,0.33333333333333215,37.0,2,3993.0,1650.0
4,39,1,9853,1,1,143.0,1,37,9,140.0,0,0,1,0,0,0,31,0,0,7,8,6,12.666666666666666,0,0,7,9,5,12.6,0,8.9,1.4,3.51,-0.06666666666666643,0.8571428571428571,0.7142857142857143,-0.1428571428571428,11,12.633333333333333,0,0.06666666666666643,19.0,-1,4433.0,1773.3333333333333
1,17,1,9773,1,1,120.0,1,19,9,117.9,1,0,0,1,0,1,21,0,0,6,6,5,13.0,0,0,6,7,6,12.833333333333334,0,8.9,1.4,3.51,-0.16666666666666607,0.8333333333333334,1.0,0.16666666666666663,11,12.916666666666668,0,0.16666666666666607,28.5,2,2520.0,1532.7
1,17,1,9254,1,1,115.0,1,12,9,108.7,1,0,0,1,0,1,18,0,0,6,9,5,11.4,0,0,6,6,6,11.333333333333334,0,12.4,0.5,1.79,-0.06666666666666643,0.8333333333333334,1.0,0.16666666666666663,11,11.366666666666667,0,0.06666666666666643,6.5,2,2070.0,1239.18
1,1,6,9500,1,1,118.0,1,38,3,113.5,1,0,0,1,1,0,18,0,0,7,7,7,13.175714285714289,0,0,8,8,8,14.925,0,12.4,0.5,1.79,1.749285714285712,1.0,1.0,0.0,15,14.050357142857145,0,1.749285714285712,28.5,1,2124.0,1495.4435714285719
1,1,2,9147,1,1,121.0,1,1,9,113.7,1,0,0,0,0,0,20,0,0,5,10,2,10.0,0,0,5,12,1,13.0,0,7.6,2.6,0.32,3.0,0.4,0.2,-0.2,3,11.5,0,3.0,10.0,0,2420.0,1137.0
1,1,5,9500,1,1,144.0,1,38,7,136.0,1,0,0,1,0,1,19,0,0,7,7,6,14.15,0,0,7,7,6,14.15,0,7.6,2.6,0.32,0.0,0.8571428571428571,0.8571428571428571,0.0,12,14.15,0,0.0,38.0,2,2736.0,1924.4
1,43,1,9773,1,1,127.0,1,1,9,110.0,0,0,1,0,1,0,19,0,0,6,10,3,11.666666666666666,0,0,6,11,2,10.0,0,16.2,0.3,-0.92,-1.666666666666666,0.5,0.3333333333333333,-0.16666666666666669,5,10.833333333333332,0,1.666666666666666,1.0,-1,2413.0,1283.3333333333333
1,39,1,9991,0,19,133.1,1,19,9,149.4,0,0,0,0,1,0,29,0,0,5,11,2,11.333333333333334,0,0,5,9,1,12.0,0,11.1,0.6,2.02,0.6666666666666661,0.4,0.2,-0.2,3,11.666666666666668,0,0.6666666666666661,28.0,0,3859.8999999999996,1693.2
1,18,5,9119,1,1,136.0,1,3,2,125.2,1,0,0,1,1,0,19,0,0,5,9,5,11.833333333333334,0,0,5,9,5,14.714285714285714,0,12.4,0.5,1.79,2.8809523809523796,1.0,1.0,0.0,10,13.273809523809524,0,2.8809523809523796,2.5,1,2584.0,1481.5333333333335
1,1,1,9500,1,1,131.0,1,19,4,122.0,1,0,0,1,0,0,20,0,0,8,8,7,14.014285714285714,0,0,8,8,7,14.014285714285714,0,12.7,3.7,-1.7,0.0,0.875,0.875,0.0,14,14.014285714285714,0,0.0,19.0,1,2620.0,1709.7428571428572
6,39,1,9500,1,1,133.1,1,37,9,110.0,0,0,0,1,0,0,36,0,0,7,12,4,11.5,0,0,7,14,3,12.333333333333334,0,16.2,0.3,-0.92,0.8333333333333339,0.5714285714285714,0.42857142857142855,-0.14285714285714285,7,11.916666666666668,0,0.8333333333333339,37.0,1,4791.599999999999,1265.0
1,1,2,9085,1,1,140.0,1,37,9,137.0,0,0,0,1,0,0,18,0,0,5,12,5,13.142857142857142,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,-1.742857142857142,1.0,1.0,0.0,10,12.271428571428572,2,1.742857142857142,37.5,1,2520.0,1800.5714285714284
1,1,2,9853,1,1,121.0,1,38,7,120.0,1,0,0,1,0,0,18,0,0,6,10,3,12.0,0,0,6,8,4,10.25,0,10.8,1.4,1.74,-1.75,0.5,0.6666666666666666,0.16666666666666663,7,11.125,0,1.75,38.0,1,2178.0,1440.0
1,1,1,9147,1,1,126.0,1,3,3,115.2,0,0,0,1,1,0,19,0,0,5,6,5,12.6,0,0,5,13,5,11.8,5,16.2,0.3,-0.92,-0.7999999999999989,1.0,1.0,0.0,10,12.2,5,0.7999999999999989,11.0,1,2394.0,1451.52
1,1,2,9773,1,1,130.0,1,1,9,126.2,1,0,0,1,0,0,18,0,0,6,6,6,11.666666666666666,0,0,6,6,5,12.2,0,12.7,3.7,-1.7,0.5333333333333332,1.0,0.8333333333333334,-0.16666666666666663,11,11.933333333333334,0,0.5333333333333332,1.0,1,2340.0,1472.3333333333333
1,15,1,9670,1,1,160.0,1,37,9,149.5,1,0,0,0,1,0,19,0,0,6,6,6,13.0,0,0,6,8,6,13.0,0,13.9,-0.3,0.79,0.0,1.0,1.0,0.0,12,13.0,0,0.0,24.5,0,3040.0,1943.5
1,1,1,171,1,1,138.0,1,19,7,124.0,1,0,0,0,0,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,0.0,0.0,0.0,0.0,0,0.0,0,0.0,28.0,0,2622.0,0.0
1,1,2,9773,1,1,148.0,1,1,9,141.7,0,0,0,1,0,0,18,0,0,6,6,6,13.833333333333334,0,0,6,6,6,12.666666666666666,0,10.8,1.4,1.74,-1.1666666666666679,1.0,1.0,0.0,12,13.25,0,1.1666666666666679,10.0,1,2664.0,1960.1833333333332
1,1,2,9670,1,1,124.0,1,19,9,117.7,1,0,1,1,1,0,20,0,0,5,5,4,12.0,0,0,5,6,5,11.6,0,9.4,-0.8,-3.12,-0.40000000000000036,0.8,1.0,0.19999999999999996,9,11.8,0,0.40000000000000036,10.0,0,2480.0,1412.4
1,39,1,9119,1,1,160.0,1,38,7,129.0,0,0,0,1,1,0,24,0,0,5,9,0,0.0,0,0,5,8,2,14.5,2,7.6,2.6,0.32,14.5,0.0,0.4,0.4,2,7.25,2,14.5,37.5,1,3840.0,0.0
1,1,1,9500,1,1,153.0,1,38,9,138.5,1,0,0,1,0,1,20,0,0,8,8,7,15.798571428571426,0,0,8,8,7,15.798571428571426,0,10.8,1.4,1.74,0.0,0.875,0.875,0.0,14,15.798571428571426,0,0.0,28.5,2,3060.0,2188.1021428571426
1,17,4,9147,1,1,125.0,1,19,5,118.0,1,0,0,1,0,0,19,0,0,5,7,5,13.6,0,0,5,6,5,12.2,0,8.9,1.4,3.51,-1.4000000000000004,1.0,1.0,0.0,10,12.899999999999999,0,1.4000000000000004,19.0,1,2375.0,1604.8
1,1,1,9500,1,1,141.0,1,3,9,124.3,0,0,0,1,0,0,19,0,0,8,8,7,14.514285714285714,0,0,8,8,7,14.514285714285714,0,12.7,3.7,-1.7,0.0,0.875,0.875,0.0,14,14.514285714285714,0,0.0,2.0,1,2679.0,1804.1257142857141
4,39,1,9991,0,1,140.0,1,1,141,129.7,0,0,0,1,0,0,35,0,0,5,8,5,12.0,0,0,5,9,5,12.857142857142858,0,13.9,-0.3,0.79,0.8571428571428577,1.0,1.0,0.0,10,12.428571428571429,0,0.8571428571428577,19.0,1,4900.0,1556.3999999999999
2,39,1,9254,1,1,130.0,1,37,4,120.0,1,0,0,1,0,0,34,0,0,6,7,5,12.4,0,0,6,8,5,12.8,0,9.4,-0.8,-3.12,0.40000000000000036,0.8333333333333334,0.8333333333333334,0.0,10,12.600000000000001,0,0.40000000000000036,37.0,1,4420.0,1488.0
1,17,3,9238,1,1,118.0,1,3,2,110.0,1,0,0,1,0,0,18,0,0,6,6,6,12.0,0,0,6,6,5,13.6,0,8.9,1.4,3.51,1.5999999999999996,1.0,0.8333333333333334,-0.16666666666666663,11,12.8,0,1.5999999999999996,2.0,1,2124.0,1320.0
1,1,5,9500,1,1,139.0,1,38,9,130.5,1,0,0,1,0,0,19,0,0,8,8,7,14.992857142857142,0,0,8,8,7,14.992857142857142,0,10.8,1.4,1.74,0.0,0.875,0.875,0.0,14,14.992857142857142,0,0.0,38.0,1,2641.0,1956.567857142857
1,17,3,9853,1,1,138.0,1,37,5,125.1,1,1,0,1,0,1,19,0,0,6,6,6,13.5,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,-0.6999999999999993,1.0,0.8333333333333334,-0.16666666666666663,11,13.15,0,0.6999999999999993,37.0,2,2622.0,1688.85
1,39,1,9556,1,1,140.0,1,37,9,106.0,1,0,1,0,0,1,24,0,0,7,14,5,12.36,0,1,8,15,5,12.0,0,8.9,1.4,3.51,-0.35999999999999943,0.7142857142857143,0.625,-0.0892857142857143,10,12.18,0,0.35999999999999943,37.5,0,3360.0,1310.1599999999999
1,17,2,9773,1,1,125.0,1,1,4,115.6,1,0,0,1,0,0,19,0,0,6,6,6,13.333333333333334,0,0,6,6,6,14.666666666666666,0,12.4,0.5,1.79,1.3333333333333321,1.0,1.0,0.0,12,14.0,0,1.3333333333333321,1.0,1,2375.0,1541.3333333333333
2,39,2,8014,0,19,100.0,1,37,4,100.0,0,0,1,1,0,0,37,0,0,6,9,6,11.833333333333334,0,0,6,7,6,11.0,0,7.6,2.6,0.32,-0.8333333333333339,1.0,1.0,0.0,12,11.416666666666668,0,0.8333333333333339,37.0,0,3700.0,1183.3333333333335
1,17,3,9238,1,1,141.0,1,3,2,124.9,1,0,0,1,0,0,19,0,0,6,10,6,12.0,0,0,6,12,4,11.0,0,12.7,3.7,-1.7,-1.0,1.0,0.6666666666666666,-0.33333333333333337,10,11.5,0,1.0,3.0,1,2679.0,1498.8000000000002
1,1,1,9238,1,1,116.0,1,38,8,110.8,1,0,0,1,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,0.0,0.0,0.0,0.0,0,0.0,0,0.0,28.5,1,2204.0,0.0
